cik,cusip6,cusip8
1062613.0,305560,30556030
827773.0,746853,74685310
1094038.0,876033,87603330
883945.0,902925,90292510
1022408.0,294268,29426810
354655.0,872391,87239110
1520744.0,550283,55028310
1363851.0,162849,16284981
1405227.0,517815,51781520
353020.0,00770F,00770F10
1097149.0,016255,01625510
217410.0,776027,77602761
69633.0,630402,63040210
714395.0,829845,829845
1454979.0,6706EB,6706EB10
1495536.0,29272A,29272A10
72331.0,655663,65566310
1181505.0,72201E,72201E10
800240.0,412448,41244852
1517401.0,70469L,70469L10
1616707.0,94419L,94419L10
949858.0,68230A,68230A10
1395325.0,27829G,27829G10
1563411.0,N22035,N2203510
832101.0,45167R,45167R10
1002135.0,957541,95754110
1078217.0,05155C,05155C10
1524931.0,171604,17160410
8855.0,027284,02728410
1357326.0,768573,76857310
1571329.0,14054R,14054R10
92230.0,582757,58275730
1297401.0,26153C,26153C10
1273636.0,03820J,03820J10
1253327.0,27828G,27828G10
1076682.0,560690,56069020
1013871.0,629377,62937750
786035.0,529900,52990010
1372920.0,647581,64758110
946673.0,06652V,06652V20
890541.0,P16994,P1699413
1099941.0,553829,55382910
1051003.0,09255R,09255R10
1099590.0,58733R,58733R10
1491675.0,199195,19919579
1008848.0,00484M,00484M10
930667.0,464286,46428639
827809.0,746927,74692710
1090012.0,290604,29060493
1524472.0,98419M,98419M10
1290900.0,202608,20260810
1136869.0,111846,11184659
1224450.0,19247X,19247X10
751364.0,109344,10934450
350846.0,868607,86860710
2034.0,004446,00444610
930667.0,464286,46428670
1603016.0,Y3262R,Y3262R10
775368.0,017175,01717510
929058.0,309226,30922670
701818.0,496902,49690240
922863.0,74756M,74756M10
1606363.0,39260X,39260X10
1595353.0,M47238,M4723810
906107.0,314535,31453549
1463172.0,98936J,98936J10
46250.0,420261,42026110
1510400.0,111776,11177613
1110805.0,67058H,67058H10
8858.0,053807,05380710
1595974.0,8112V1,8112V102
1017290.0,827692,82769210
1585738.0,30233N,30233N10
864415.0,003244,00324410
910108.0,232817,23281762
1010858.0,30255X,30255X10
1133311.0,948260,948260
20286.0,117380,11738008
357301.0,898349,89834910
33213.0,126035,12603525
1519751.0,34964C,34964C10
7536.0,042735,04273510
766704.0,326064,32606490
1012100.0,81211K,81211K10
1607310.0,N51488,N5148811
1576263.0,60468T,60468T10
1101396.0,247368,24736810
723254.0,172908,17290810
1092699.0,78463M,78463M10
1286597.0,265672,26567276
1499686.0,05381L,05381L10
912093.0,146967,14696721
320340.0,45816D,45816D10
889348.0,125919,12591930
1216583.0,67073B,67073B10
31347.0,27874N,27874N10
1358483.0,300415,30041510
1450893.0,50187X,50187X10
712515.0,285512,28551210
203077.0,193675,19367576
1574540.0,71943U,71943U10
1108046.0,022201,02220120
1332349.0,112463,11246310
1517302.0,04316A,04316A10
1196875.0,27828T,27828T10
1095651.0,45031U,45031U10
799167.0,573075,57307510
1579471.0,85571W,85571W10
858877.0,260459,26045932
1426800.0,045396,04539610
1227862.0,95766A,95766A10
41719.0,377316,37731610
1073429.0,90333L,90333L20
759828.0,410142,41014210
95521.0,250850,25085011
1360565.0,96327X,96327X10
1304409.0,04686K,04686K10
912728.0,349853,34985310
1102993.0,538146,53814610
1316625.0,827061,82706110
101984.0,913483,91348310
1113148.0,45665G,45665G30
1499807.0,48273J,48273J10
833079.0,59001A,59001A10
1021604.0,M8791A,M8791A
823768.0,270139,27013916
1594686.0,161856,16185628
1391636.0,23247W,23247W10
1178841.0,64124K,64124K10
1377757.0,04341Y,04341Y10
1372299.0,43358V,43358V10
708819.0,580037,58003710
1423221.0,747619,74761910
1082038.0,266605,26660510
1505512.0,75915k,75915k10
1504461.0,62913M,62913M10
1289419.0,617700,61770010
20629.0,125906,12590610
1066104.0,21988R,21988R10
74260.0,194470,19447057
1508931.0,30051B,30051B10
1041548.0,04957F,04957F10
1460235.0,614196,614196
1488075.0,46118H,46118H10
931948.0,107427,10742772
1044435.0,872391,87239110
1159036.0,40637H,40637H10
1392380.0,374396,37439610
716314.0,629822,629822
1054905.0,45768S,45768S10
1159297.0,131628,13162851
1137440.0,09248J,09248J10
1178819.0,248356,24835610
1024478.0,106778,10677867
817473.0,225478,22547854
1094810.0,549635,549635
1454389.0,86181Q,86181Q30
835324.0,948538,948538
1510337.0,33737J,33737J19
1523854.0,952678,95267810
1285890.0,92912T,92912T10
1001082.0,25470M,25470M10
24090.0,174740,17474010
783325.0,209118,20911873
1452580.0,28239Q,28239Q20
50493.0,457030,45703010
1358403.0,079481,07948110
1377053.0,047438,04743830
1100663.0,228237,22823725
82811.0,758750,75875010
799195.0,530158,53015810
1388141.0,617477,61747710
1069258.0,50077B,50077B20
1293153.0,25030W,25030W10
1091596.0,23283B,23283B20
749038.0,550143,550143
852772.0,24869P,24869P10
769397.0,117118,11711892
1177648.0,29251M,29251M10
890491.0,067774,06777410
1335239.0,29413V,29413V30
721683.0,891906,89190610
1339048.0,959319,95931910
1410172.0,78112T,78112T10
1034760.0,967590,96759010
1368458.0,79546E,79546E10
1555365.0,109646,10964618
1490165.0,29482P,29482P10
896156.0,297602,29760210
63908.0,671731,67173115
721683.0,112631,11263174
706129.0,440407,44040710
1433660.0,477839,47783910
71691.0,108668,10866871
1582244.0,219381,21938110
1466085.0,45378A,45378A10
39368.0,359694,35969410
1393052.0,922475,92247510
836157.0,535555,53555510
1533040.0,74979C,74979C30
1617898.0,482539,48253910
80420.0,828385,828385
1347452.0,96040V,96040V10
1567345.0,42365Q,42365Q10
1037540.0,138558,13855849
1023734.0,055639,05563910
1158289.0,67071B,67071B10
99106.0,893247,89324730
1042074.0,23257D,23257D10
1077183.0,64049M,64049M20
1022671.0,171772,17177257
887730.0,488360,48836020
